input,quality,tier,remesh_engine,status,elapsed_sec,timeout_sec,failure_category,error
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,auto,auto,timeout,60.0,60,timeout,timeout(60s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,core,auto,pass,2.58,12,pass,"2026-04-10T12:38:28.459643Z [info     ] Evaluation complete            [core.evaluator.report] hard_fails=0 quality_level=fine soft_fails=0 verdict=PASS; 2026-04-10T12:38:28.460169Z [info     ] Pipeline PASS                  [core.pipeline.orchestrator] iteration=1 verdict=PASS; 2026-04-10T12:38:28.460413Z [warning  ] boundary_classification_failed [core.utils.boundary_classifier] error=""could not convert string to float: ''""; 2026-04-10T12:38:28.460528Z [info     ] boundary_patches_classified  "
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,netgen,auto,fail,6.56,60,openfoam_failure,--> FOAM FATAL ERROR: [1m([0mopenfoam-[1m2406[0m patch=[1m260127[0m[1m)[0m
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,snappy,auto,timeout,90.0,90,timeout,timeout(90s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,cfmesh,auto,timeout,90.0,90,timeout,timeout(90s)
/home/younglin90/work/claude_code/AutoTessell/test_cube.stl,fine,tetwild,auto,fail,7.8,60,openfoam_failure,"2026-04-10T12:41:40.664664Z [warning  ] gmsh_to_foam_failed            [core.generator.tier2_tetwild] error='OpenFOAM utility \'gmshToFoam\' failed with returncode=1.\nstderr: \n\n--> FOAM FATAL ERROR: (openfoam-2406 patch=260127)\ncannot find file ""/home/younglin90/work/claude_code/AutoTessell/_matrix_runs/mx_test_cube_fine_tetwild_auto/system/controlDict""\n\n    From virtual Foam::autoPtr<Foam::ISstream> Foam::fileOperations::uncollatedFileOperation::readStream(Foam::regIOobject&, const Foam::fileName&, const Foam::word&, bool) const\n    in file global/fileOperations/uncollatedFileOperation/uncollatedFileOperation.C at line 629.\n\nFOAM exiting\n\n'"
